number,abbr,ady,ýygnaklaryň_jemi,gatnaşyjylaryň_jemi,talyplar,mugallymlar,ene-atalar,pudak_edaralar,ýaş(0-17),ýaş(18-29),ýaş(30-59),60+,zenan,erkek,tema_sany,teklip_sany,tema-1,tema-2,tema-3,tema-4,tema-5,tema-6,tema-7,tema-8,tema-9,tema-10,tema-11,tema-12,tema-13,tema-14,tema-15,tema-16,tema-17,tema-1-teklip-sany,tema-2-teklip-sany,tema-3-teklip-sany,tema-4-teklip-sany,tema-5-teklip-sany,tema-6-teklip-sany,tema-7-teklip-sany,tema-8-teklip-sany,tema-9-teklip-sany,tema-10-teklip-sany,tema-11-teklip-sany,tema-12-teklip-sany,tema-13-teklip-sany,tema-14-teklip-sany,tema-15-teklip-sany,tema-16-teklip-sany,tema-17-teklip-sany
46,,Türkmenabat şäher häkimliginiň 2-nji hünär-tehniki okuw mekdebi,3,186,70,10,20,86,5,90,85,6,43,143,6,6,,1,1,1,,1,,,,,1,,,,1,,,,1,1,1,,1,,,,,1,,,,1,,
47,,Dänew etrap häkimliginiň 1-nji hünär-tehniki okuw mekdebi,2,157,102,24,22,9,0,93,55,9,47,110,5,6,1,1,,1,1,1,,,,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,1
48,,Saýat etrap häkimliginiň 5-nji hünär-tehniki okuw mekdebi,1,47,25,8,7,7,0,25,20,2,14,33,8,1,1,1,1,1,1,1,,,,,1,,,,1,,1,,,,,,1,,,,,,,,,,,
49,,”Türkmenobahyzmat” döwlet birleşiginiň “Lebapobahyzmat” önümçilik birleşiginiň Saýat etrabyndaky hünär-tehniki okuw mekdebi,5,90,45,8,33,7,,45,45,,36,54,8,4,1,1,1,1,,1,,,,,1,,,,1,,1,1,,1,1,,1,,,,,,,,,,,
50,,Köýtendag etrap häkimliginiň hünär-tehniki okuw mekdebi,1,45,25,6,11,3,,20,15,10,15,30,5,3,1,1,1,1,,1,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,
51,,Saýat etrap häkimliginiň hünär-tehniki okuw mekdebi,1,31,10,6,5,10,0,11,14,6,14,17,6,11,1,1,1,1,,1,,,,,1,,,,,,,1,1,,3,,4,,,,,2,,,,,,
52,,Darganata etrap häkimliginiň 11-nji hünär-tehniki okuw mekdebi,1,103,84,7,8,4,8,45,48,2,42,61,5,5,1,,1,1,1,1,,,,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,
53,,Seýdiniň nebiti gaýtadan işleýän zawodynyň  15-nji hünär-tehniki okuw mekdebi,1,187,142,19,15,11,21,65,97,4,111,76,5,5,1,,1,1,1,1,,,,,,,,,,,,1,,1,1,1,1,,,,,,,,,,,
54,,Garlyk kaliý dag-magdan toplumynyň Magdanly şäherindäki hünär-tehniki okuw mekdebi,1,123,95,10,5,13,,40,80,3,57,66,3,3,1,,,1,1,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,
55,,Halaç etrap häkimliginiň hünär-tehniki okuw mekdebi,1,109,62,4,36,7,,52,39,18,26,83,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
56,,Kerki etrap häkimliginiň hünär-tehniki okuw mekdebi,1,144,91,8,28,17,,83,57,4,68,76,8,8,1,1,1,1,,1,,,,,1,,,,1,,1,1,1,1,1,,1,,,,,1,,,,1,,1
57,,Türkmenistanyň Ministrler Kabinetiniň ýanyndaky Ulag we kommunikasiýalar agentliginiň “Türkmendemirýollary” agentliginiň Türkmenabat şäherindäki demir ýol hünär-tehniki okuw mekdebi,1,137,125,9,0,3,12,98,22,5,70,67,5,2,1,,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,,,
58,,Türkmenistanyň Gurluşyk we binagärlik ministrliginiň Türkmenabat gurluşyk hünär-tehniki okuw mekdebi,1,23,8,12,0,3,0,,14,9,15,8,5,3,1,1,,,,1,,,,,1,,,,1,,,,,,,,1,,,,,1,,,,1,,
59,,Hojambaz etrap häkimliginiň  hünär-tehniki okuw mekdebi,1,26,18,3,5,0,0,18,4,4,7,19,3,1,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
